Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
05-Feb-24,Monday,February,Q1,2024,EQ,3170.00,3229.40,3151.45,3157.45,3175.25,3173.45,3192.80,3236.95,1103.75,2191195.00,132489.00
02-Feb-24,Friday,February,Q1,2024,EQ,3184.95,3208.50,3140.00,3153.50,3157.00,3157.45,3173.20,3236.95,1017.45,2708695.00,123968.00
01-Feb-24,Thursday,February,Q1,2024,EQ,3156.90,3236.95,3083.05,3142.00,3154.85,3153.50,3162.65,3236.95,1017.45,4686595.00,211723.00
31-Jan-24,Wednesday,January,Q1,2024,EQ,3092.75,3151.70,3072.40,3091.10,3138.00,3142.00,3116.94,3199.00,1017.45,2671051.00,115716.00
30-Jan-24,Tuesday,January,Q1,2024,EQ,3081.00,3129.90,3020.90,3064.65,3096.00,3091.10,3090.43,3199.00,1017.45,3115506.00,152019.00
29-Jan-24,Monday,January,Q1,2024,EQ,2929.00,3092.70,2923.05,2893.60,3061.00,3064.65,3044.27,3199.00,1017.45,4402976.00,276784.00
25-Jan-24,Thursday,January,Q1,2024,EQ,2903.45,2926.35,2804.40,2903.45,2903.00,2893.60,2860.14,3508.00,1017.45,2601969.00,135262.00
24-Jan-24,Wednesday,January,Q1,2024,EQ,2901.00,2929.10,2871.25,2896.55,2908.00,2903.45,2891.63,3508.00,1017.45,5807940.00,160772.00
23-Jan-24,Tuesday,January,Q1,2024,EQ,3014.95,3014.95,2885.50,2987.90,2900.35,2896.55,2945.88,3508.00,1017.45,1827002.00,101673.00
20-Jan-24,Saturday,January,Q1,2024,EQ,2930.00,3015.85,2890.50,2915.65,2987.85,2987.90,2939.51,3739.95,1017.45,1878793.00,83748.00
19-Jan-24,Friday,January,Q1,2024,EQ,2945.35,2949.45,2903.05,2918.90,2915.30,2915.65,2926.36,3739.95,1017.45,2014096.00,88297.00
18-Jan-24,Thursday,January,Q1,2024,EQ,2975.55,2985.00,2885.10,2971.05,2925.05,2918.90,2923.25,3739.95,1017.45,2552342.00,137932.00
17-Jan-24,Wednesday,January,Q1,2024,EQ,3033.00,3045.00,2946.30,3056.50,2978.00,2971.05,2994.68,3739.95,1017.45,2897218.00,116205.00
16-Jan-24,Tuesday,January,Q1,2024,EQ,3095.00,3104.50,3035.00,3089.50,3059.00,3056.50,3066.60,3739.95,1017.45,2515564.00,81017.00
15-Jan-24,Monday,January,Q1,2024,EQ,3127.00,3130.00,3067.45,3104.10,3091.30,3089.50,3095.46,3739.95,1017.45,1407007.00,66077.00
12-Jan-24,Friday,January,Q1,2024,EQ,3096.35,3125.00,3068.20,3080.90,3105.40,3104.10,3100.07,3880.00,1017.45,1795933.00,81003.00
11-Jan-24,Thursday,January,Q1,2024,EQ,3120.00,3129.00,3065.00,3098.20,3084.00,3080.90,3089.22,3880.00,1017.45,2008103.00,82014.00
10-Jan-24,Wednesday,January,Q1,2024,EQ,3024.00,3112.00,3020.05,3014.60,3107.80,3098.20,3077.75,3880.00,1017.45,3590297.00,146816.00
09-Jan-24,Tuesday,January,Q1,2024,EQ,2990.70,3068.80,2980.00,2963.50,3024.95,3014.60,3029.63,3880.00,1017.45,2885706.00,124090.00
08-Jan-24,Monday,January,Q1,2024,EQ,3020.00,3027.00,2952.95,3006.60,2965.00,2963.50,2990.76,3880.00,1017.45,1849061.00,77114.00
